Form Name,Character,Font Name,Unicode
Caption,Font Name,,
Label Label50,N*dK[f,-Win---Innwa,ဂြိုဟ်
Label lbl235,wdxD,-Win---Innwa,တိထီ
Label lbl235,Nrif,-Win---Innwa,မြင်
Label lbl235,pif,-Win---Innwa,စင်
Label lbl235,yO�ef;,-Win---Innwa,ပဥ္စန်း
Label lbl235,OD;,-Win---Innwa,ဦး
Label lbl77,0,-Win---Innwa,
Label lbl73,0,-Win---Innwa,
Label lbl235,9,-Win---Innwa,
Label lbl235,8,-Win---Innwa,
Label lbl235,0,-Win---Innwa,
Label lbl235,6,-Win---Innwa,
Label lbl235,5,-Win---Innwa,
Label lbl235,4,-Win---Innwa,
Label lbl235,3,-Win---Innwa,
Label lbl235,2,-Win---Innwa,
Label Label49,0,-Win---Innwa,
Label Label49,0,-Win---Innwa,
Label Label49,0,-Win---Innwa,
Label Label49,0,-Win---Innwa,
Label Label49,0,-Win---Innwa,
Label Label49,0,-Win---Innwa,
Label Label49,0,-Win---Innwa,
Label Label49,0,-Win---Innwa,
Label Label49,0,-Win---Innwa,
Label lbl10,0,-Win---Innwa,
Label lbl11,0,-Win---Innwa,
Label lbl12,0,-Win---Innwa,
Label lbl13,0,-Win---Innwa,
Label lbl14,0,-Win---Innwa,
Label lbl15,0,-Win---Innwa,
Label lbl16,0,-Win---Innwa,
Label lbl17,0,-Win---Innwa,
Label lbl18,0,-Win---Innwa,
Label lbl19,0,-Win---Innwa,
Label lbl20,0,-Win---Innwa,
Label lbl21,0,-Win---Innwa,
Label lbl22,0,-Win---Innwa,
Label lbl23,0,-Win---Innwa,
Label lbl24,0,-Win---Innwa,
Label lbl25,0,-Win---Innwa,
Label lbl26,0,-Win---Innwa,
Label lbl27,0,-Win---Innwa,
Label lbl28,0,-Win---Innwa,
Label lbl29,0,-Win---Innwa,
Label lbl30,0,-Win---Innwa,
Label lbl31,0,-Win---Innwa,
Label lbl32,0,-Win---Innwa,
Label lbl33,0,-Win---Innwa,
Label lbl34,0,-Win---Innwa,
Label lbl35,0,-Win---Innwa,
Label lbl36,0,-Win---Innwa,
Label lbl37,0,-Win---Innwa,
Label lbl38,0,-Win---Innwa,
Label lbl39,0,-Win---Innwa,
Label lbl40,0,-Win---Innwa,
Label lbl41,0,-Win---Innwa,
Label lbl42,0,-Win---Innwa,
Label lbl43,0,-Win---Innwa,
Label lbl44,0,-Win---Innwa,
Label lbl45,0,-Win---Innwa,
Label lbl46,0,-Win---Innwa,
Label lbl47,0,-Win---Innwa,
Label lbl48,0,-Win---Innwa,
Label lbl49,0,-Win---Innwa,
Label lbl50,0,-Win---Innwa,
Label lbl51,0,-Win---Innwa,
Label lbl52,0,-Win---Innwa,
Label lbl53,0,-Win---Innwa,
Label lbl54,0,-Win---Innwa,
Label lbl55,0,-Win---Innwa,
Label lbl56,0,-Win---Innwa,
Label lbl57,0,-Win---Innwa,
Label lbl58,0,-Win---Innwa,
Label lbl59,0,-Win---Innwa,
Label lbl60,0,-Win---Innwa,
Label lbl61,0,-Win---Innwa,
Label lbl62,0,-Win---Innwa,
Label lbl63,0,-Win---Innwa,
Label lbl64,0,-Win---Innwa,
Label lbl65,0,-Win---Innwa,
Label lbl66,0,-Win---Innwa,
Label lbl67,0,-Win---Innwa,
Label lbl68,0,-Win---Innwa,
Label lbl69,0,-Win---Innwa,
Label lbl70,0,-Win---Innwa,
Label lbl71,0,-Win---Innwa,
Label lbl72,0,-Win---Innwa,
Label lbl74,0,-Win---Innwa,
Label lbl75,0,-Win---Innwa,
Label lbl76,0,-Win---Innwa,
Label lbl78,0,-Win---Innwa,
Label lbl79,0,-Win---Innwa,
Label lbl80,0,-Win---Innwa,
Label lbl81,0,-Win---Innwa,
Label lbl82,0,-Win---Innwa,
Label lbl83,0,-Win---Innwa,
Label lbl84,0,-Win---Innwa,
Label lbl85,0,-Win---Innwa,
Label lbl86,0,-Win---Innwa,
Label lbl87,0,-Win---Innwa,
Label lbl88,0,-Win---Innwa,
Label lbl89,0,-Win---Innwa,
Label lbl90,0,-Win---Innwa,
Label lbl91,0,-Win---Innwa,
Label lbl92,0,-Win---Innwa,
Label lbl93,0,-Win---Innwa,
Label lbl94,0,-Win---Innwa,
Label lbl95,0,-Win---Innwa,
Label lbl96,0,-Win---Innwa,
Label lbl97,0,-Win---Innwa,
Label lbl98,0,-Win---Innwa,
Label lbl99,0,-Win---Innwa,
Label lbl100,0,-Win---Innwa,
Label lbl101,0,-Win---Innwa,
Label lbl102,0,-Win---Innwa,
Label lbl103,0,-Win---Innwa,
Label lbl104,0,-Win---Innwa,
Label lbl105,0,-Win---Innwa,
Label lbl106,0,-Win---Innwa,
Label lbl107,0,-Win---Innwa,
Label lbl108,0,-Win---Innwa,
Label lbl109,0,-Win---Innwa,
Label lbl110,0,-Win---Innwa,
Label lbl111,0,-Win---Innwa,
Label lbl112,0,-Win---Innwa,
Label lbl113,0,-Win---Innwa,
Label lbl114,0,-Win---Innwa,
Label lbl115,0,-Win---Innwa,
Label lbl116,0,-Win---Innwa,
Label lbl117,0,-Win---Innwa,
Label lbl118,0,-Win---Innwa,
Label lbl119,0,-Win---Innwa,
Label lbl120,0,-Win---Innwa,
Label lbl121,0,-Win---Innwa,
Label lbl122,0,-Win---Innwa,
Label lbl123,0,-Win---Innwa,
